"age","industry","title","context","salary","benefits","currency","currency.other","income_context","country","us_state","city","exp_total","exp_field","education","gender","race"
"35-44","nonprofits","GENERAL MANAGER","",198000,NA,NA,"","","AUSTRALIA",NA,"SA","11 - 20 years",NA,"Professional degree (MD, JD, etc.)","Woman","White"
"45-54","health care","APPLICATION SYSTEMS ANALYST","",70500,0,NA,"","","UNITED STATES","New Hampshire","KEENE","11 - 20 years","5-7 years","College degree","Woman","White"
"25-34","education (higher education)","RESEARCH OFFICER","",80000,NA,NA,"","","CANADA",NA,"TORONTO","5-7 years","5-7 years","Master's degree","Woman","Asian or Asian American"
"25-34","biomedical research","BIOINFORMATICS ENGINEER","Data curation focus",80000,0,NA,"","","UNITED STATES","Washington","SEATTLE","5-7 years","5-7 years","PhD","Woman","White"
"18-24","retail","ASSISTANT MANAGER","",40560,200,NA,"","","UNITED STATES","Oregon","BEAVERTON","5-7 years","5-7 years","Some college","Man","Hispanic, Latino, or Spanish origin"
"35-44","engineering or manufacturing","BUSINESS INTELLIGENCE ANALYST II","",75000,NA,NA,"","","UNITED STATES","Wisconsin","NEENAH","21 - 30 years",NA,"College degree","Woman","Asian or Asian American"
"45-54","property or construction","DEVELOPMENT & IMPLEMENTATION SPECIALIST","I help public agencies (higher ed, healthcare, state, local & federal govt.) with a specific form of construction contracting to complete projects. ",73000,1500,NA,"","","UNITED STATES","California","SANTA ROSA","11 - 20 years","5-7 years","Some college","Woman","White"
"25-34","education (higher education)","REPORTING & DATA ANALYST","",88000,NA,NA,"","","UNITED STATES","Massachusetts","CAMBRIDGE","11 - 20 years",NA,"College degree","Woman","White"
"35-44","marketing, advertising and pr","ASSOCIATE STRATEGY DIRECTOR","",120000,0,NA,"","","CANADA",NA,"TORONTO","11 - 20 years",NA,"Some college","Woman","White"
"45-54","marketing, advertising and pr","MANAGER - MARKETING & COMMUNICATION","",86500,15000,NA,"","","CANADA",NA,"EDMONTON","21 - 30 years","11 - 20 years","College degree","Man","White"
"18-24","computing or tech","DATA ANALYST","",75000,NA,NA,"","","UNITED STATES","Texas","AUSTIN","2 - 4 years","2 - 4 years","College degree","Man","White"
"25-34","transport or logistics","PASSENGER ASSISTANT","",20800,NA,NA,"","I have a zero hours contract and usually work less than 20 hours a week","UNITED KINGDOM/UK",NA,"BLACKPOOL","1 year or less","1 year or less","College degree","Non-binary","White"
"35-44","biomedical research","PHARMACOLOGY SPECIALIST, SCIENTIST I","",120000,20000,NA,"","","UNITED STATES","Massachusetts","CAMBRIDGE","11 - 20 years","11 - 20 years","College degree","Woman","White"
"25-34","health care","MEDICAL LABORATORY SCIENTIST","Heath care related laboratory testing. ",61838,NA,NA,"","","UNITED STATES","Kansas","WICHITA","8 - 10 years",NA,"College degree","Man","White"
"25-34","education (higher education)","GRADUATE STUDENT","Engineering",36000,0,NA,"","","UNITED STATES","Pennsylvania","STATE COLLEGE","5-7 years","5-7 years","Master's degree","Man","White"
"25-34","law","SENIOR ASSOCIATE","",92000,10000,NA,"","","UNITED STATES","Texas","HOUSTON","5-7 years","5-7 years","Professional degree (MD, JD, etc.)","Woman","White"
"25-34","business or consulting","ASSOCIATE","Urban/Transportation Planner",75000,NA,NA,"","","CANADA",NA,"TORONTO","5-7 years","2 - 4 years","Master's degree","Woman","White"
"55-64","accounting, banking and finance","COMPLIANCE SENIOR MANAGER","Risk Management Oversight",187000,75000,NA,"","","UNITED STATES","California","SAN FRANCISCO","21 - 30 years","11 - 20 years","Master's degree","Woman","White"
"25-34","computing or tech","SOFTWARE SUPPORT MANAGER","",40095,4000,NA,"","","UNITED KINGDOM/UK",NA,"READING","11 - 20 years","5-7 years","Some college","Woman","White"
"25-34","art and design","LEAD DESIGNER","",50000,0,NA,"","","UNITED STATES","Illinois","CHICAGO","8 - 10 years",NA,"College degree","Woman","Asian or Asian American"
"55-64","utilities and telecommunications","EXECUTIVE ASSISTANT","",87000,NA,NA,"","","UNITED STATES","Texas","HOUSTON","21 - 30 years","11 - 20 years","Some college","Woman","White"
"25-34","education (higher education)","PROFESSIONAL FACULTY","",62000,0,NA,"","","UNITED STATES","Virginia","GLOUCESTER","8 - 10 years",NA,"Master's degree","Woman","White"
"25-34","media and digital","LEGAL TRANSLATOR","",55000,20000,NA,"","","CANADA",NA,"MONTREAL","5-7 years","2 - 4 years","Master's degree","Woman","White"
"45-54","marketing, advertising and pr","MARKETING DIRECTOR","",112000,13000,NA,"","","UNITED STATES","ZZ_Multiple","DES MOINES","21 - 30 years","21 - 30 years","College degree","Woman","White"
"35-44","nonprofits","ADMINISTRATIVE SERVICES MANAGER","Accounting and HR",65000,1300,NA,"","","UNITED STATES","Texas","SAN ANTONIO","11 - 20 years","11 - 20 years","College degree","Woman","White"
"25-34","health care","PHYSICAL THERAPIST","",97000,NA,NA,"","","UNITED STATES","Pennsylvania","QUAKERTOWN","5-7 years","5-7 years","Professional degree (MD, JD, etc.)","Woman","White"
"25-34","engineering or manufacturing","IT","Only managers and above have a title, everyone else is \only\\" a member of a department\"",43000,2300,NA,"","","GERMANY",NA,"MUNICH","5-7 years","2 - 4 years","Master's degree","Woman","White"
"25-34","hospitality and events","EVENTS SPECIALIST","Events Specialist at a Law firm",85000,NA,NA,"","Not sure if eligible for a bonus, since we did not receive one during COVID and this is my first year at this company","UNITED STATES","New Jersey","NEW YORK","8 - 10 years",NA,"College degree","Woman","Hispanic, Latino, or Spanish origin, White"
"25-34","computing or tech","QA ANALYST","Manual software testing",37000,0,NA,"","","UNITED KINGDOM/UK",NA,"WFH","8 - 10 years","2 - 4 years","College degree","Woman","White"
"35-44","nonprofits","STANDARDS ASSOCIATE","",62500,NA,NA,"","","UNITED STATES","New York","NY","11 - 20 years","2 - 4 years","Master's degree","Woman","Hispanic, Latino, or Spanish origin, White"
"45-54","business or consulting","DIGITAL LEAD","",160000,NA,NA,"","","AUSTRALIA",NA,"CANBERRA","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"35-44","computing or tech","SENIOR SOLUTION ENGINEER I","developing internal software",145000,0,NA,"","","UNITED STATES","North Carolina","GARNER","21 - 30 years","11 - 20 years","Some college","Man","White"
"25-34","business or consulting","ENVIRONMENTAL PLANNER","I work for an environmental engineering consultancy, but I handle zoning/permitting/urban planning issues, not engineering  ",62500,3000,NA,"","I live in a high COL state, my (middle class) salary qualifies me to apply for affordable housing in my county and neighboring ones. This role has an extremely varied salary elsewhere. ","UNITED STATES","New Jersey","NEWARK","2 - 4 years","2 - 4 years","Master's degree","Woman","White"
"25-34","computing or tech","TECHNICIAN","Computer service/ repair ",55000,NA,NA,"","","UNITED STATES","Massachusetts","NEWTON","11 - 20 years","5-7 years","College degree","Woman","Asian or Asian American, White"
"35-44","computing or tech","DATA PRODUCT MANAGER","",105000,0,NA,"","","UNITED STATES","ZZ_Multiple","IPSWICH","11 - 20 years",NA,"Professional degree (MD, JD, etc.)","Woman","White"
"25-34","accounting, banking and finance","COLLECTIONS ASSOCIATE","",39000,3000,NA,"","","UNITED STATES","Massachusetts","WOBURN","2 - 4 years","2 - 4 years","College degree","Man","White"
"25-34","accounting, banking and finance","PARTNER","Venture capital fund",185000,30000,NA,"","","NEW ZEALAND",NA,"AUCKLAND","8 - 10 years",NA,"College degree","Man","White"
"25-34","nonprofits","SENIOR PROGRAM MANAGER","",95000,0,NA,"","","UNITED STATES","District of Columbia","WASHINGTON, DC","8 - 10 years","5-7 years","College degree","Woman","White"
"55-64","nonprofits","DIRECTOR OF HR","",78000,0,NA,"","","UNITED STATES","Massachusetts","SPRINGFIELD","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"18-24","education (primary/secondary)","TEACHER","",42000,0,NA,"","","UNITED STATES","Georgia","GLENNVILLE","2 - 4 years","2 - 4 years","College degree","Woman","White"
"35-44","engineering or manufacturing","ADMINISTRATIVE ASSISTANT","",60320,2000,NA,"","","UNITED STATES","South Carolina","SPARTANBURG","11 - 20 years","11 - 20 years","College degree","Woman","White"
"25-34","law","ASSOCIATE","",280000,52000,NA,"","","UNITED STATES","New York","NEW YORK","8 - 10 years","5-7 years","Professional degree (MD, JD, etc.)","Woman","Asian or Asian American"
"55-64","computing or tech","SCRUM MASTER","",110000,0,NA,"","Contractor, paid hourly, no PTO or medical benefits ","UNITED STATES","Pennsylvania","PITTSBURGH","31 - 40 years","11 - 20 years","Master's degree","Woman","White"
"35-44","nonprofits","IMMIGRATION SERVICES MANAGER","",52000,0,NA,"","","UNITED STATES","Georgia","ATLANTA","11 - 20 years","11 - 20 years","College degree","Woman","White"
"55-64","education (primary/secondary)","TEACHER","",40000,0,NA,"","","UNITED KINGDOM/UK",NA,"SOUTHEND-ON-SEA","31 - 40 years","31 - 40 years","College degree","Woman","White"
"35-44","accounting, banking and finance","OFFICE MANAGER","",105000,10000,NA,"","","UNITED STATES","New York","NEW YORK","11 - 20 years","11 - 20 years","College degree","Woman","Asian or Asian American"
"25-34","engineering or manufacturing","SCIENTIST","",105000,15000,NA,"","","UNITED STATES","California","IRVINE","5-7 years","5-7 years","PhD","Woman","White"
"25-34","computing or tech","CTO","",78000,15000,NA,"","","GERMANY",NA,"BERLIN","5-7 years","5-7 years","College degree","Man","White"
"45-54","education (higher education)","INSTRUCTIONAL PROF","",102000,0,NA,"","","UNITED STATES","Texas","COLLEGE STATION","11 - 20 years","11 - 20 years","PhD","Woman","White"
"25-34","marketing, advertising and pr","FREELANCE CONTENT WRITER","Self employed writing digital content, mostly marketing content for small to medium sized companies",60000,0,NA,"","","UNITED STATES","New York","BEACON","8 - 10 years","5-7 years","College degree","Woman","White"
"25-34","music: freelance, performing and education","FREELANCE VIOLINIST","",50000,0,NA,"","My income varies from year to year because I freelance. ","UNITED STATES","Texas","HOUSTON AREA","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"55-64","sales","ACCOUNT MANAGER","",180000,58000,NA,"","","UNITED STATES","Pennsylvania","PHILADELPHIA","41 years or more","41 years or more","Some college","Man","White"
"35-44","computing or tech","DATA SCIENTIST","",26000,1000,NA,"","","LATVIA",NA,"RIGA","11 - 20 years","5-7 years","College degree","Woman","White"
"45-54","accounting, banking and finance","TAX PREPARER","",47840,300,NA,"","","UNITED STATES","Colorado","LOVELAND","21 - 30 years","5-7 years","College degree","Woman","White"
"35-44","nonprofits","MANAGER OF PROFESSIONAL DEVELOPMENT","Museum educator and manager of education",61800,NA,NA,"","","UNITED STATES",NA,"WASHINGTON, DC","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"35-44","education (primary/secondary)","MANAGER","Consulting project manager",155,0,NA,"","","UNITED STATES","Massachusetts","BOSTON","11 - 20 years",NA,"Master's degree","Woman","White"
"35-44","nonprofits","CHIEF OF STAFF","",129800,NA,NA,"","","UNITED STATES","District of Columbia","WASHINGTON","11 - 20 years","11 - 20 years","College degree","Not reported","Another option not listed here or prefer not to answer"
"18-24","engineering or manufacturing","MAILING OPERATOR","",36000,NA,NA,"","","CANADA",NA,"WINNIPEG","5-7 years","2 - 4 years","High School","Woman","White"
"25-34","computing or tech","SENIOR SOFTWARE ENGINEER","",150000,20000,NA,"","","UNITED STATES","Massachusetts","CAMBRIDGE","5-7 years","5-7 years","College degree","Woman","White"
"25-34","government and public administration","TRANSIT PLANNER","",108000,NA,NA,"","","UNITED STATES","California","SAN FRANCISCO","8 - 10 years","5-7 years","Master's degree","Woman","White"
"35-44","education (primary/secondary)","BCBA/LBA","",80000,0,NA,"","","UNITED STATES","Hawaii","HONOLULU","8 - 10 years","2 - 4 years","Master's degree","Woman","White"
"45-54","computing or tech","PRODUCT MANAGER","",89000,NA,NA,"","","UNITED STATES","Wisconsin","MADISON","21 - 30 years","5-7 years","College degree","Woman","White"
"45-54","education (higher education)","ASSISTANT PROFESSOR OF EDUCATION","Certification Officer, Coordinator of Clinical Experiences",44000,0,NA,"","","UNITED STATES","Missouri","BOLIVAR","11 - 20 years",NA,"PhD","Woman","White"
"35-44","museum","EARLY LEARNING STEM MANAGER","",40000,NA,NA,"","","UNITED STATES","Pennsylvania","HARRISBURG","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"35-44","computing or tech","ENGINEERING MANAGER","",119000,10000,NA,"","","UNITED STATES","Texas","AUSTIN","11 - 20 years","11 - 20 years","College degree","Woman","White"
"35-44","computing or tech","SOFTWARE ENGINEER","",130000,10000,NA,"","","UNITED STATES","Massachusetts","BOSTON","11 - 20 years","11 - 20 years","Master's degree","Man","White"
"45-54","government and public administration","MANAGER","",120000,0,NA,"","Highest pay grade at my level ","CANADA",NA,"OTTAWA","21 - 30 years","21 - 30 years","Master's degree","Woman","White"
"25-34","marketing, advertising and pr","CONTENT WRITER/COPYWRITER","",40000,1000,NA,"","I live in a relatively high CoL city in a low CoL state. While copywriters in other places, like NYC, might earn more, my income is very normal for my field and location.","UNITED STATES","North Carolina","CHARLOTTE","8 - 10 years","2 - 4 years","College degree","Non-binary","White"
"25-34","nonprofits","SHELTER COORDINATOR","I run a homeless shelter",47840,NA,NA,"","","CANADA",NA,"PORTAGE LA PRAIRIE, MANITOBA","5-7 years","1 year or less","Master's degree","Woman","White"
"35-44","recruitment or hr","PEOPLE BUSINESS PARTNER","Hr manager",96000,10000,NA,"","","UNITED STATES","Ohio","ELYRIA","11 - 20 years","11 - 20 years","Master's degree","Woman","Native American or Alaska Native"
"35-44","nonprofits","DIRECTOR OF HR","",96000,NA,NA,"","","UNITED STATES","Texas","CARROLLTON","11 - 20 years","11 - 20 years","College degree","Woman","White"
"55-64","veterinary medicine","VETERINARY SPECIALIST","work for state diagnostic lab, public sector job, not private clinician",89800,0,NA,"","","UNITED STATES","Arkansas","LITTLE ROCK","21 - 30 years","2 - 4 years","Professional degree (MD, JD, etc.)","Woman","White"
"35-44","health care","ADMINISTRATIVE SUPPORT SPECIALIST","",52000,NA,NA,"","","UNITED STATES","Massachusetts","BOSTON","8 - 10 years","5-7 years","College degree","Woman","White"
"35-44","nonprofits","RESEARCH ASSOCIATE","",77000,NA,NA,"","This is >$25,000 than I’ve made in any other position in my field. ","UNITED STATES","Alabama","MOBILE","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"35-44","social work","SOCIAL WORKER / CHILD DEVELOPMENT SPECIALIST","Provide therapeutic services to children with special needs",62000,NA,NA,"","","UNITED STATES","Illinois","CHICAGO","11 - 20 years",NA,"Master's degree","Woman","White"
"35-44","government and public administration","DEPUTY COURTROOM CLERK","",80000,0,NA,"","","UNITED STATES","California","SAN FRANCISCO","11 - 20 years","2 - 4 years","College degree","Woman","White"
"45-54","libraries (medical)","LIBRARY TROUBLESHOOTER","Not my exact title, but it's what I do.",92000,600,NA,"","Additional compensation varies each year due to longevity pay & institutional performance bonus.","UNITED STATES","Texas","HOUSTON","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"55-64","law","LEGAL ASSISTANT","",85000,8000,NA,"","","UNITED STATES","California","SAN JOSE","31 - 40 years","21 - 30 years","Master's degree","Woman","White"
"35-44","computing or tech","SOFTWARE ENGINEER","",101000,50000,NA,"","","UNITED KINGDOM/UK",NA,"LONDON","11 - 20 years","11 - 20 years","College degree","Man","White"
"25-34","consulting operations- big 4","ASSOCIATE DIRECTOR","",1e+05,5000,NA,"","","UNITED STATES","Michigan","GRAND RAPIDS","11 - 20 years",NA,"College degree","Woman","White"
"35-44","property or construction","OFFICE MANAGER","",21840,NA,NA,"","","UNITED KINGDOM/UK",NA,"ALTON","8 - 10 years","5-7 years","College degree","Woman","White"
"35-44","business or consulting","VP GROWTH STRATEGY","head of sales & marketing, plus more general high-level strategy and ops work",140000,20000,NA,"","","UNITED STATES","Pennsylvania","OUTSIDE PHILADELPHIA","11 - 20 years","11 - 20 years","College degree","Woman","White"
"35-44","computing or tech","ENGINEERING MANAGER","",180000,0,NA,"","","UNITED STATES","California","SAN FRANCISCO BAY AREA","31 - 40 years","21 - 30 years","College degree","Man","White"
"35-44","computing or tech","CLOUD SOLUTIONS MEDIA SUPPORT ENGINEER","Technical Solutions Engineer",150000,15000,NA,"","","UNITED STATES","Washington","SEATTLE","11 - 20 years","11 - 20 years","College degree","Woman","White"
"25-34","insurance","SENIOR ASSOCIATE ACTUARY","",127500,15000,NA,"","","UNITED STATES","California","SAN FRANCISCO","5-7 years","5-7 years","College degree","Man","White"
"35-44","computing or tech","SENIOR SOFTWARE ENGINEER","",125000,0,NA,"","","UNITED STATES","Oregon","PORTLAND","11 - 20 years",NA,"College degree","Woman","White"
"35-44","property or construction","SALES COORDINATOR","Real estate agency administrator ",28850,NA,NA,"","","UNITED KINGDOM/UK",NA,"LONDON","11 - 20 years","5-7 years","College degree","Woman","White"
"45-54","utilities and telecommunications","HUMAN RESOURCES MANAGER","",132000,NA,NA,"","","UNITED STATES","Washington","EVERETT","21 - 30 years","21 - 30 years","Master's degree","Woman","White"
"45-54","government and public administration","BRANCH MANAGER","I never know whether to put libraries under non-profit or government.",77000,0,NA,"","","UNITED STATES","Maryland","BALTIMORE METRO","11 - 20 years",NA,"Master's degree","Woman","White"
"35-44","education (higher education)","DEPARTMENT CHAIR","humanities field",70000,NA,NA,"","","UNITED STATES","South Carolina","NA","11 - 20 years","11 - 20 years","PhD","Woman","Middle Eastern or Northern African, White"
"18-24","engineering or manufacturing","HR GENERALIST","",58000,5000,NA,"","","UNITED STATES","Minnesota","MINNEAPOLIS","2 - 4 years","2 - 4 years","College degree","Woman","White"
"25-34","engineering or manufacturing","COMPUTER SYSTEM VALIDATION ENGINEER","",1e+05,100,NA,"","","UNITED STATES","California","SANTA MONICA","2 - 4 years","2 - 4 years","Master's degree","Woman","Hispanic, Latino, or Spanish origin"
"35-44","engineering or manufacturing","SENIOR LEGAL COUNSEL","",98000,NA,NA,"","","GERMANY",NA,"CA 100K INHABITANTS","11 - 20 years","11 - 20 years","Professional degree (MD, JD, etc.)","Woman","White"
"35-44","media and digital","COLLECTION DEVELOPMENT LIBRARIAN","",65000,NA,NA,"","","UNITED STATES","Massachusetts","BOSTON","11 - 20 years",NA,"Master's degree","Woman","White"
"35-44","computing or tech","SOLUTIONS ARCHITECT","",133000,18000,NA,"","","UNITED STATES","Colorado","DENVER","11 - 20 years","11 - 20 years","Some college","Man","White"
"35-44","nonprofits","SENIOR DATA ANALYST","",91000,3000,NA,"","","UNITED STATES","District of Columbia","WASHINGTON, DC","8 - 10 years","2 - 4 years","Master's degree","Woman","White"
"25-34","law","ATTORNEY","Contract Partner",125000,10000,NA,"","","UNITED STATES","Connecticut","HARTFORD","8 - 10 years",NA,"Professional degree (MD, JD, etc.)","Woman","White"
"25-34","business or consulting","BUSINESS CONSULTANT","",34000,NA,NA,"","","JORDAN",NA,"AMMAN","5-7 years","5-7 years","College degree","Woman","White"
"35-44","research","RESEARCH PROJECT MANAGER II","",107000,0,NA,"","","UNITED STATES","Massachusetts","GREATER BOSTON","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"25-34","marketing, advertising and pr","SEO","",2e+05,0,NA,"","","UNITED KINGDOM/UK",NA,"BRISTOL","8 - 10 years","5-7 years","College degree","Man","White"
"55-64","nonprofits","ASSOCIATION SOLUTIONS","I work for a full-service management firm; our clients are non-profits.",47000,NA,NA,"","","UNITED STATES","Virginia","ANNANDALE VA","21 - 30 years","2 - 4 years","Some college","Woman","White"
"35-44","hospitality and events","CONTROLLER","Finance",98500,10000,NA,"","","UNITED STATES","Florida","NAPLES","21 - 30 years","21 - 30 years","College degree","Woman","White"
"35-44","engineering or manufacturing","STRUCTURAL ENGINEER","",110000,4000,NA,"","","UNITED STATES","Massachusetts","BOSTON","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"45-54","education (higher education)","ASSOCIATE DEAN FOR COMMUNICATIONS","Includes all of marketing, communications, PR, crisis comms, etc.",185000,0,NA,"","","UNITED STATES","Illinois","CHICAGO","21 - 30 years","11 - 20 years","Professional degree (MD, JD, etc.)","Woman","White"
"25-34","education (early childhood education)","QUALITY RATING SPECIALIST","Program assessor to conduct quality assessments at early childhood programs",62400,NA,NA,"","","UNITED STATES","California","SAN DIEGO","11 - 20 years",NA,"College degree","Woman","Asian or Asian American"
"25-34","health care","MANAGER OF CLINICAL REFERRALS","I'm a people manager of a team of 7",80000,NA,NA,"","","UNITED STATES","California","SAN FRANCISCO","8 - 10 years","5-7 years","College degree","Woman","White"
"35-44","computing or tech","SENIOR DATA QUALITY SPECIALIST","I'm basically a data analyst",110000,0,NA,"","","UNITED STATES","Washington","SEATTLE","5-7 years","5-7 years","Master's degree","Woman","White"
"35-44","utilities and telecommunications","ASSISTANT","",50876,2500,NA,"","Bonus is 0-5% based on organizational key performance indicators, max is $2500 based on my salary ","UNITED STATES","Florida","NORTH FORT MYERS","21 - 30 years","11 - 20 years","Some college","Woman","White"
"25-34","music therapy","MUSIC THERAPIST","board certified music therapist ",56000,1000,NA,"","","UNITED STATES","Michigan","BERKLEY","2 - 4 years","2 - 4 years","College degree","Woman","White"
"35-44","utilities and telecommunications","NETWORK ARCHITECT","",165000,17000,NA,"","","UNITED STATES","Maryland","LAUREL","21 - 30 years","11 - 20 years","College degree","Woman","White"
"25-34","computing or tech","CLOUD OPERATIONS ENGINEER","comparable to  \dev ops engineer\\" or \\"infrastructure engineer\\"\"",74000,NA,NA,"","","UNITED STATES","Oregon","PORTLAND","8 - 10 years","5-7 years","Some college","Woman","White"
"25-34","business or consulting","DIRECTOR","",220000,40000,NA,"","","UNITED STATES","Virginia","STAFFORD","11 - 20 years",NA,"College degree","Woman","White"
"25-34","accounting, banking and finance","ASSURANCE SENIOR","",61000,12000,NA,"","Hourly rate over 40 hrs ","UNITED STATES","Oregon","PORTLAND","5-7 years","2 - 4 years","College degree","Woman","White"
"25-34","education (higher education)","RESEARCH FELLOW","",42000,0,NA,"","","UNITED KINGDOM/UK",NA,"MANCHESTER","8 - 10 years","5-7 years","PhD","Man","White"
"35-44","accounting, banking and finance","SENIOR COMMUNICATIONS MANAGER","Communications ",115000,NA,NA,"","I might get a bonus, I'm not sure","CANADA",NA,"TORONTO","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"35-44","nonprofits","DEPUTY EXECUTIVE DIRECTOR","#2 at organization, like a Managing Director",144500,0,NA,"","","UNITED STATES","New York","NEW YORK","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"25-34","retail","SUPERVISOR","I am also acting manager on my manager's days off, and open and close the store every day.",19760,0,NA,"","","SCOTLAND",NA,"PERTH","8 - 10 years",NA,"College degree","Woman","White"
"25-34","computing or tech","SENIOR SOFTWARE ENGINEER","",205000,250000,NA,"","RSUs and annual cash bonus","UNITED STATES","California","SAN FRANCISCO","11 - 20 years","11 - 20 years","Some college","Man","White"
"18-24","health care","MEDICAL SCRIBE","Ophthalmology Dept",33150,0,NA,"","Usually work 30-40 hours a week, sometimes less","UNITED STATES","Pennsylvania","PHILADELPHIA","2 - 4 years","2 - 4 years","College degree","Woman","Asian or Asian American"
"55-64","education (primary/secondary)","MUSIC TEACHER HALF TIME GRADES PK -4","",54100,0,NA,"","","UNITED STATES","North Dakota","MINOT","11 - 20 years","11 - 20 years","College degree","Woman","White"
"35-44","architect","PROJECT MANAGER/ARCHITECT","",94500,18000,NA,"","","UNITED STATES","Missouri","KANSAS CITY","11 - 20 years","11 - 20 years","College degree","Woman","White"
"35-44","government and public administration","FOIA ANALYST","",88000,NA,NA,"","","UNITED STATES","District of Columbia","WASHINGTON","8 - 10 years","5-7 years","Professional degree (MD, JD, etc.)","Man","White"
"25-34","accounting, banking and finance","DIRECTOR OF FINANCE AND ADMIN","",87000,5000,NA,"","","CANADA",NA,"WINNIPEG","5-7 years","5-7 years","College degree","Woman","White"
"25-34","government and public administration","DEPUTY DIRECTOR, ENVIRONMENTAL REVIEW","",105000,0,NA,"","","UNITED STATES","New York","NEW YORK CITY","8 - 10 years",NA,"Master's degree","Woman","White"
"35-44","law enforcement and security","DETENTIONS CREW LEADER","I supervise inmates at our local jail as they clean and perform other Janitorial duties ",41000,0,NA,"None","N/A","UNITED STATES","Colorado","AURORA","8 - 10 years","1 year or less","College degree","Woman","White"
"25-34","government and public administration","ADMINISTRATIVE OFFICER","Budget Officer + Office Manager",53000,NA,NA,"","","UNITED STATES","North Carolina","TROY","8 - 10 years","5-7 years","College degree","Man","White"
"35-44","education (higher education)","INSTRUCTOR","History",53000,NA,NA,"","","UNITED STATES","South Carolina","PENDLETON","11 - 20 years","11 - 20 years","Master's degree","Woman","White"
"25-34","law","SUPERVISORY PARALEGAL SPECIALIST","",72000,0,NA,"","","UNITED STATES","District of Columbia","WASHINGTON","5-7 years","5-7 years","College degree","Woman","White"
"35-44","education (higher education)","ASSOCIATE PROFESSOR","In Humanities",70000,2000,NA,"","","UNITED STATES","Florida","ORLANDO","8 - 10 years",NA,"PhD","Woman","White"
"35-44","art and design","USER EXPERIENCE MANAGER","Manage a design team for a retailer ",70000,7000,NA,"","","IRELAND",NA,"CORK","11 - 20 years","11 - 20 years","Master's degree","Man","White"
"25-34","education (higher education)","COMMUNITIES MANAGER","",47000,NA,NA,"","","UNITED KINGDOM/UK",NA,"LONDON","5-7 years","5-7 years","College degree","Woman","White"
"35-44","entertainment","STUDIO/TOURING MUSICIAN","",15600,0,NA,"","That's with ~100 hour weeks, not 40.","UNITED STATES","Washington","SEATTLE","11 - 20 years","11 - 20 years","College degree","Woman","White"
"45-54","retail","CASHIER","",25000,2000,NA,"","","UNITED STATES","Connecticut","HARTFORD","21 - 30 years","21 - 30 years","Master's degree","Woman","White"
"35-44","media and digital","WEB MANAGER","",42000,300,NA,"","","UNITED STATES","Washington","FROM HOME FOR A CHICAGO BASED COMPANY","8 - 10 years","5-7 years","College degree","Woman","White"
"25-34","computing or tech","RESEARCH SCIENTIST/ENGINEER III","",133000,9000,NA,"","","UNITED STATES","California","CUPERTINO, CA","8 - 10 years","2 - 4 years","College degree","Woman","Asian or Asian American"
"35-44","sales","ACCOUNT MANAGER","I sell higher education materials and manage accounts. ",55000,20000,NA,"","Our bonuses range depending on the year. I've made as little as 9k extra and as much as 20k extra","UNITED STATES","Iowa","DUBUQUE","11 - 20 years","5-7 years","College degree","Woman","White"
"25-34","insurance","CLAIMS REPRESENTATIVE","",79000,0,NA,"","","UNITED STATES","Texas","DALLAS","8 - 10 years","5-7 years","College degree","Woman","White"
"35-44","health care","MEDICAL TECHNOLOGIST II","",90000,NA,NA,"","","UNITED STATES","Oregon","PORTLAND","11 - 20 years","11 - 20 years","College degree","Woman","White"
"25-34","health care","SENIOR HEALTH ECONOMIST","health services researcher with a CRO",117000,0,NA,"","","UNITED STATES","Massachusetts","CAMBRIDGE","8 - 10 years",NA,"PhD","Woman","White"
"25-34","nonprofits","PRINCIPAL WEB DEVELOPER","",118000,NA,NA,"","","UNITED STATES","New York","BROOKLYN","11 - 20 years","11 - 20 years","College degree","Man","Asian or Asian American, White"
"25-34","transport or logistics","CUSTOMER SERVICE REP/DISPATCHER","",30000,NA,NA,"","","UNITED STATES","New Jersey","WESTAMPTON","11 - 20 years",NA,"College degree","Woman","Black or African American"
"35-44","insurance","DIRECTOR OF OPERATIONS","",91000,1500,NA,"","","UNITED STATES","Idaho","BOISE","11 - 20 years",NA,"College degree","Woman","White"
"25-34","nonprofits","PROGRAMS DIRECTOR","Communications/Outreach/Community Relations, Marketing, Event Planning and special projects",47200,0,NA,"","","UNITED STATES","New Hampshire","HANOVER","5-7 years","5-7 years","Master's degree","Woman","White"
"55-64","transport or logistics","CUSTOMER SERVICE","",45000,3000,NA,"","","UNITED STATES","Georgia","ALPHARETTA","31 - 40 years","31 - 40 years","Some college","Woman","White"
"25-34","computing or tech","SENIOR SOFTWARE ENGINEER","",149000,15000,NA,"","","UNITED STATES","California","SAN JOSE","5-7 years","5-7 years","Master's degree","Man","White"
